Timestamp,Sender,retr,retr.total,cwnd,ssthresh
1623531595.202290,172.10.0.2:57424,19,129,65,69
1623531595.240753,172.10.0.2:57424,19,129,65,69
1623531595.278020,172.10.0.2:57424,19,129,65,69
1623531595.315286,172.10.0.2:57424,19,129,65,69
1623531595.354193,172.10.0.2:57424,18,129,69,69
1623531595.390386,172.10.0.2:57424,16,129,69,69
1623531595.429149,172.10.0.2:57424,14,129,69,69
1623531595.465908,172.10.0.2:57424,10,129,69,69
1623531595.502696,172.10.0.2:57424,8,129,69,69
1623531595.541721,172.10.0.2:57424,5,129,69,69
1623531595.580140,172.10.0.2:57424,2,129,69,69
1623531595.621793,172.10.0.2:57424,0,129,69,69
1623531595.660104,172.10.0.2:57424,0,129,69,69
1623531595.699148,172.10.0.2:57424,0,129,69,69
1623531595.736771,172.10.0.2:57424,0,129,69,69
1623531595.776244,172.10.0.2:57424,0,129,69,69
1623531595.814485,172.10.0.2:57424,0,129,70,69
1623531595.853628,172.10.0.2:57424,0,129,70,69
1623531595.891347,172.10.0.2:57424,0,129,70,69
1623531595.930271,172.10.0.2:57424,0,129,70,69
1623531595.966542,172.10.0.2:57424,0,129,70,69
1623531596.004320,172.10.0.2:57424,0,129,70,69
1623531596.042142,172.10.0.2:57424,0,129,71,69
1623531596.078583,172.10.0.2:57424,0,129,71,69
1623531596.115971,172.10.0.2:57424,0,129,71,69
1623531596.152739,172.10.0.2:57424,0,129,71,69
1623531596.190713,172.10.0.2:57424,0,129,71,69
1623531596.227411,172.10.0.2:57424,0,129,71,69
1623531596.265679,172.10.0.2:57424,0,129,71,69
1623531596.303636,172.10.0.2:57424,0,129,71,69
1623531596.341093,172.10.0.2:57424,0,129,71,69
1623531596.380589,172.10.0.2:57424,0,129,71,69
1623531596.417075,172.10.0.2:57424,0,129,71,69
1623531596.453802,172.10.0.2:57424,0,129,71,69
1623531596.490645,172.10.0.2:57424,0,129,71,69
1623531596.527304,172.10.0.2:57424,0,129,71,69
1623531596.565141,172.10.0.2:57424,0,129,71,69
1623531596.605493,172.10.0.2:57424,0,129,71,69
1623531596.642824,172.10.0.2:57424,2,131,69,56
1623531596.680502,172.10.0.2:57424,2,131,68,56
1623531596.718461,172.10.0.2:57424,2,131,68,56
1623531596.755009,172.10.0.2:57424,2,131,67,56
1623531596.793241,172.10.0.2:57424,2,131,67,56
1623531596.829908,172.10.0.2:57424,2,131,66,56
1623531596.867912,172.10.0.2:57424,2,131,65,56
1623531596.907120,172.10.0.2:57424,2,131,64,56
1623531596.945244,172.10.0.2:57424,2,131,64,56
1623531596.981838,172.10.0.2:57424,2,131,63,56
1623531597.017919,172.10.0.2:57424,2,131,62,56
1623531597.056579,172.10.0.2:57424,2,131,62,56
1623531597.093769,172.10.0.2:57424,2,131,61,56
1623531597.131840,172.10.0.2:57424,2,131,61,56
1623531597.168617,172.10.0.2:57424,2,131,60,56
1623531597.207321,172.10.0.2:57424,2,131,59,56
1623531597.245729,172.10.0.2:57424,2,131,59,56
1623531597.282563,172.10.0.2:57424,2,131,58,56
1623531597.319425,172.10.0.2:57424,2,131,56,56
1623531597.355940,172.10.0.2:57424,2,131,56,56
1623531597.394024,172.10.0.2:57424,2,131,56,56
1623531597.431079,172.10.0.2:57424,2,131,56,56
1623531597.468674,172.10.0.2:57424,1,131,56,56
1623531597.506553,172.10.0.2:57424,0,131,56,56
1623531597.544333,172.10.0.2:57424,0,131,56,56
1623531597.584188,172.10.0.2:57424,0,131,56,56
1623531597.625084,172.10.0.2:57424,0,131,56,56
1623531597.661594,172.10.0.2:57424,0,131,56,56
1623531597.700813,172.10.0.2:57424,0,131,56,56
1623531597.738996,172.10.0.2:57424,0,131,56,56
1623531597.776649,172.10.0.2:57424,0,131,56,56
1623531597.813988,172.10.0.2:57424,0,131,56,56
1623531597.850931,172.10.0.2:57424,0,131,56,56
1623531597.888760,172.10.0.2:57424,0,131,56,56
1623531597.927090,172.10.0.2:57424,0,131,56,56
1623531597.964719,172.10.0.2:57424,0,131,56,56
1623531598.002005,172.10.0.2:57424,0,131,56,56
1623531598.039985,172.10.0.2:57424,0,131,56,56
1623531598.080471,172.10.0.2:57424,0,131,56,56
1623531598.117615,172.10.0.2:57424,0,131,56,56
1623531598.156896,172.10.0.2:57424,0,131,56,56
1623531598.193547,172.10.0.2:57424,0,131,56,56
1623531598.233252,172.10.0.2:57424,0,131,56,56
1623531598.270097,172.10.0.2:57424,0,131,56,56
1623531598.305090,172.10.0.2:57424,0,131,56,56
1623531598.341558,172.10.0.2:57424,0,131,56,56
1623531598.378731,172.10.0.2:57424,0,131,56,56
1623531598.415967,172.10.0.2:57424,0,131,56,56
1623531598.452732,172.10.0.2:57424,0,131,56,56
1623531598.489943,172.10.0.2:57424,0,131,56,56
1623531598.526650,172.10.0.2:57424,0,131,56,56
1623531598.564022,172.10.0.2:57424,0,131,56,56
1623531598.606717,172.10.0.2:57424,0,131,56,56
1623531598.643252,172.10.0.2:57424,0,131,56,56
1623531598.680418,172.10.0.2:57424,0,131,56,56
1623531598.719983,172.10.0.2:57424,0,131,56,56
1623531598.759372,172.10.0.2:57424,0,131,56,56
1623531598.797724,172.10.0.2:57424,0,131,56,56
1623531598.835103,172.10.0.2:57424,0,131,56,56
1623531598.872103,172.10.0.2:57424,0,131,56,56
1623531598.912170,172.10.0.2:57424,0,131,56,56
1623531598.948107,172.10.0.2:57424,0,131,56,56
1623531598.984097,172.10.0.2:57424,0,131,56,56
1623531599.021160,172.10.0.2:57424,0,131,56,56
1623531599.057534,172.10.0.2:57424,0,131,56,56
1623531599.097280,172.10.0.2:57424,0,131,56,56
1623531599.134754,172.10.0.2:57424,0,131,56,56
1623531599.171387,172.10.0.2:57424,0,131,56,56
1623531599.208524,172.10.0.2:57424,0,131,56,56
1623531599.247791,172.10.0.2:57424,0,131,56,56
1623531599.285401,172.10.0.2:57424,0,131,56,56
1623531599.321573,172.10.0.2:57424,0,131,56,56
1623531599.358611,172.10.0.2:57424,0,131,57,56
1623531599.398672,172.10.0.2:57424,0,131,57,56
1623531599.435485,172.10.0.2:57424,0,131,57,56
1623531599.471006,172.10.0.2:57424,0,131,57,56
1623531599.508860,172.10.0.2:57424,0,131,57,56
1623531599.545908,172.10.0.2:57424,0,131,57,56
1623531599.583337,172.10.0.2:57424,0,131,57,56
1623531599.625600,172.10.0.2:57424,0,131,57,56
1623531599.661719,172.10.0.2:57424,0,131,57,56
1623531599.698579,172.10.0.2:57424,0,131,57,56
1623531599.739007,172.10.0.2:57424,0,131,57,56
1623531599.775981,172.10.0.2:57424,0,131,57,56
1623531599.813631,172.10.0.2:57424,0,131,57,56
1623531599.850698,172.10.0.2:57424,0,131,57,56
1623531599.887409,172.10.0.2:57424,0,131,57,56
1623531599.926895,172.10.0.2:57424,0,131,57,56
1623531599.962991,172.10.0.2:57424,0,131,57,56
1623531599.999335,172.10.0.2:57424,0,131,57,56
1623531600.040114,172.10.0.2:57424,0,131,57,56
1623531600.079421,172.10.0.2:57424,0,131,57,56
1623531600.117525,172.10.0.2:57424,0,131,57,56
1623531600.154879,172.10.0.2:57424,0,131,57,56
1623531600.191885,172.10.0.2:57424,0,131,57,56
1623531600.229154,172.10.0.2:57424,0,131,57,56
1623531600.268598,172.10.0.2:57424,0,131,57,56
1623531600.306613,172.10.0.2:57424,0,131,57,56
1623531600.343939,172.10.0.2:57424,0,131,57,56
1623531600.381205,172.10.0.2:57424,0,131,57,56
1623531600.419712,172.10.0.2:57424,0,131,57,56
1623531600.457962,172.10.0.2:57424,0,131,57,56
1623531600.496114,172.10.0.2:57424,0,131,57,56
1623531600.532751,172.10.0.2:57424,0,131,57,56
1623531600.569830,172.10.0.2:57424,0,131,57,56
1623531600.616601,172.10.0.2:57424,0,131,57,56
1623531600.654550,172.10.0.2:57424,0,131,57,56
1623531600.692292,172.10.0.2:57424,0,131,57,56
1623531600.730115,172.10.0.2:57424,0,131,57,56
1623531600.770406,172.10.0.2:57424,0,131,57,56
1623531600.808584,172.10.0.2:57424,0,131,57,56
1623531600.845815,172.10.0.2:57424,0,131,57,56
1623531600.884030,172.10.0.2:57424,0,131,57,56
1623531600.923917,172.10.0.2:57424,0,131,57,56
1623531600.963020,172.10.0.2:57424,0,131,57,56
1623531601.001379,172.10.0.2:57424,0,131,57,56
1623531601.039307,172.10.0.2:57424,0,131,57,56
1623531601.077774,172.10.0.2:57424,0,131,57,56
1623531601.116051,172.10.0.2:57424,0,131,57,56
1623531601.154090,172.10.0.2:57424,0,131,57,56
1623531601.191216,172.10.0.2:57424,0,131,57,56
1623531601.229534,172.10.0.2:57424,0,131,57,56
1623531601.266911,172.10.0.2:57424,0,131,57,56
1623531601.307690,172.10.0.2:57424,0,131,57,56
1623531601.346164,172.10.0.2:57424,0,131,57,56
