Timestamp,Sender,retr,retr.total,cwnd,ssthresh
1623529639.276949,172.10.0.2:57400,0,71,46,35
1623529639.314993,172.10.0.2:57400,0,71,46,35
1623529639.350756,172.10.0.2:57400,0,71,46,35
1623529639.390517,172.10.0.2:57400,0,71,46,35
1623529639.426414,172.10.0.2:57400,0,71,46,35
1623529639.463822,172.10.0.2:57400,0,71,46,35
1623529639.500541,172.10.0.2:57400,0,71,46,35
1623529639.540199,172.10.0.2:57400,0,71,46,35
1623529639.579734,172.10.0.2:57400,0,71,47,35
1623529639.616968,172.10.0.2:57400,0,71,47,35
1623529639.655709,172.10.0.2:57400,0,71,47,35
1623529639.692951,172.10.0.2:57400,0,71,47,35
1623529639.734070,172.10.0.2:57400,0,71,47,35
1623529639.771410,172.10.0.2:57400,0,71,47,35
1623529639.807786,172.10.0.2:57400,0,71,47,35
1623529639.844949,172.10.0.2:57400,0,71,47,35
1623529639.882125,172.10.0.2:57400,0,71,47,35
1623529639.918770,172.10.0.2:57400,0,71,47,35
1623529639.964498,172.10.0.2:57400,0,71,47,35
1623529639.999971,172.10.0.2:57400,0,71,47,35
1623529640.036027,172.10.0.2:57400,0,71,47,35
1623529640.072888,172.10.0.2:57400,0,71,47,35
1623529640.118005,172.10.0.2:57400,0,71,47,35
1623529640.157653,172.10.0.2:57400,0,71,48,35
1623529640.193464,172.10.0.2:57400,0,71,48,35
1623529640.230723,172.10.0.2:57400,0,71,48,35
1623529640.266464,172.10.0.2:57400,0,71,48,35
1623529640.304304,172.10.0.2:57400,0,71,48,35
1623529640.342201,172.10.0.2:57400,0,71,48,35
1623529640.377736,172.10.0.2:57400,0,71,48,35
1623529640.416394,172.10.0.2:57400,0,71,48,35
1623529640.453320,172.10.0.2:57400,0,71,48,35
1623529640.489467,172.10.0.2:57400,0,71,48,35
1623529640.528601,172.10.0.2:57400,0,71,48,35
1623529640.563859,172.10.0.2:57400,0,71,48,35
1623529640.601590,172.10.0.2:57400,0,71,48,35
1623529640.637451,172.10.0.2:57400,0,71,48,35
1623529640.674115,172.10.0.2:57400,0,71,48,35
1623529640.720989,172.10.0.2:57400,0,71,49,35
1623529640.757348,172.10.0.2:57400,0,71,49,35
1623529640.793208,172.10.0.2:57400,0,71,49,35
1623529640.829501,172.10.0.2:57400,0,71,49,35
1623529640.864856,172.10.0.2:57400,0,71,49,35
1623529640.904629,172.10.0.2:57400,0,71,49,35
1623529640.941228,172.10.0.2:57400,0,71,49,35
1623529640.979806,172.10.0.2:57400,0,71,49,35
1623529641.018894,172.10.0.2:57400,0,71,49,35
1623529641.053783,172.10.0.2:57400,0,71,49,35
1623529641.093111,172.10.0.2:57400,0,71,49,35
1623529641.131722,172.10.0.2:57400,0,71,49,35
1623529641.167652,172.10.0.2:57400,0,71,49,35
1623529641.205416,172.10.0.2:57400,0,71,49,35
1623529641.245510,172.10.0.2:57400,0,71,49,35
1623529641.282155,172.10.0.2:57400,0,71,49,35
1623529641.319640,172.10.0.2:57400,0,71,50,35
1623529641.355849,172.10.0.2:57400,0,71,50,35
1623529641.394155,172.10.0.2:57400,0,71,50,35
1623529641.430120,172.10.0.2:57400,0,71,50,35
1623529641.466388,172.10.0.2:57400,0,71,50,35
1623529641.502880,172.10.0.2:57400,0,71,50,35
1623529641.538980,172.10.0.2:57400,0,71,50,35
1623529641.575236,172.10.0.2:57400,0,71,50,35
1623529641.612239,172.10.0.2:57400,0,71,50,35
1623529641.647558,172.10.0.2:57400,0,71,50,35
1623529641.681834,172.10.0.2:57400,0,71,50,35
1623529641.720676,172.10.0.2:57400,0,71,50,35
1623529641.755910,172.10.0.2:57400,0,71,50,35
1623529641.790796,172.10.0.2:57400,0,71,50,35
1623529641.826770,172.10.0.2:57400,0,71,50,35
1623529641.863522,172.10.0.2:57400,0,71,50,35
1623529641.901857,172.10.0.2:57400,0,71,50,35
1623529641.938961,172.10.0.2:57400,0,71,51,35
1623529641.979014,172.10.0.2:57400,0,71,51,35
1623529642.021248,172.10.0.2:57400,0,71,51,35
1623529642.057837,172.10.0.2:57400,0,71,51,35
1623529642.092501,172.10.0.2:57400,0,71,51,35
1623529642.129109,172.10.0.2:57400,0,71,51,35
1623529642.163152,172.10.0.2:57400,0,71,51,35
1623529642.198394,172.10.0.2:57400,0,71,51,35
1623529642.233052,172.10.0.2:57400,0,71,51,35
1623529642.269146,172.10.0.2:57400,0,71,51,35
1623529642.304212,172.10.0.2:57400,0,71,51,35
1623529642.339202,172.10.0.2:57400,0,71,51,35
