Timestamp,Sender,retr,retr.total,cwnd,ssthresh
1623532535.634656,172.10.0.2:57436,,,5,3
1623532535.672159,172.10.0.2:57436,,,6,3
1623532535.710029,172.10.0.2:57436,,,6,3
1623532535.747261,172.10.0.2:57436,,,6,3
1623532535.783459,172.10.0.2:57436,,,5,3
1623532535.819177,172.10.0.2:57436,,,5,3
1623532535.857091,172.10.0.2:57436,,,4,3
1623532535.894578,172.10.0.2:57436,,,4,3
1623532535.934613,172.10.0.2:57436,,,5,3
1623532535.970686,172.10.0.2:57436,,,5,3
1623532536.007036,172.10.0.2:57436,,,5,3
1623532536.043781,172.10.0.2:57436,,,5,3
1623532536.098813,172.10.0.2:57436,,,6,3
1623532536.134417,172.10.0.2:57436,,,6,3
1623532536.170514,172.10.0.2:57436,,,6,3
1623532536.207871,172.10.0.2:57436,,,5,3
1623532536.245449,172.10.0.2:57436,,,5,3
1623532536.281166,172.10.0.2:57436,,,4,3
1623532536.316595,172.10.0.2:57436,,,4,3
1623532536.352026,172.10.0.2:57436,,,5,3
1623532536.388634,172.10.0.2:57436,,,5,3
1623532536.427283,172.10.0.2:57436,,,6,3
1623532536.463686,172.10.0.2:57436,,,6,3
1623532536.499835,172.10.0.2:57436,,,6,3
1623532536.535648,172.10.0.2:57436,,,6,3
1623532536.572577,172.10.0.2:57436,,,5,3
1623532536.610621,172.10.0.2:57436,,,5,3
1623532536.646835,172.10.0.2:57436,,,4,3
1623532536.682892,172.10.0.2:57436,,,5,3
1623532536.720429,172.10.0.2:57436,,,5,3
1623532536.756408,172.10.0.2:57436,,,5,3
1623532536.793909,172.10.0.2:57436,,,5,3
1623532536.830991,172.10.0.2:57436,,,5,3
1623532536.867155,172.10.0.2:57436,,,6,3
1623532536.907564,172.10.0.2:57436,,,6,3
1623532536.944665,172.10.0.2:57436,,,6,3
1623532536.980877,172.10.0.2:57436,,,5,3
1623532537.017140,172.10.0.2:57436,,,5,3
1623532537.052545,172.10.0.2:57436,,,5,3
1623532537.090145,172.10.0.2:57436,,,4,3
1623532537.126774,172.10.0.2:57436,,,5,3
1623532537.163080,172.10.0.2:57436,,,5,3
1623532537.200175,172.10.0.2:57436,,,5,3
1623532537.237733,172.10.0.2:57436,,,6,3
1623532537.274815,172.10.0.2:57436,,,6,3
1623532537.313844,172.10.0.2:57436,,,6,3
1623532537.351495,172.10.0.2:57436,,,5,3
1623532537.387156,172.10.0.2:57436,,,5,3
1623532537.426477,172.10.0.2:57436,,,4,3
1623532537.462592,172.10.0.2:57436,,,4,3
1623532537.500730,172.10.0.2:57436,,,5,3
1623532537.538202,172.10.0.2:57436,,,5,3
1623532537.574345,172.10.0.2:57436,,,5,3
1623532537.611754,172.10.0.2:57436,,,5,3
1623532537.649338,172.10.0.2:57436,,,6,3
1623532537.686351,172.10.0.2:57436,,,6,3
1623532537.722786,172.10.0.2:57436,,,6,3
1623532537.761670,172.10.0.2:57436,,,5,3
1623532537.798451,172.10.0.2:57436,,,5,3
1623532537.834926,172.10.0.2:57436,,,5,3
1623532537.871335,172.10.0.2:57436,,,4,3
1623532537.911652,172.10.0.2:57436,,,5,3
1623532537.947700,172.10.0.2:57436,,,5,3
1623532537.986762,172.10.0.2:57436,,,5,3
1623532538.022281,172.10.0.2:57436,,,6,3
1623532538.058486,172.10.0.2:57436,,,6,3
1623532538.093810,172.10.0.2:57436,,,6,3
1623532538.133190,172.10.0.2:57436,,,5,3
1623532538.168537,172.10.0.2:57436,,,5,3
